,Symbol,Company,Price,Change%1D,Change1D,Volume1D,Volume*Price1D,MarketCap,MarketCapPerformance%1Y,PriceEarningRatio,EarningPerShare(TTM),Employees(FY),Sector
341,ARIZ,Arisz Acquisition Corp.,10.65,0.76%,0.08,N/A,2513.0,54909000.0,-38.22%,158.48,0.07,N/A,Finance
342,ARKO,ARKO Corp.,8.20,2.76%,0.22,218880.0,1795000.0,972986000.0,-16.46%,23.59,0.37,12223.0,Retail Trade
343,ARKR,Ark Restaurants Corp.,17.93,1.24%,0.22,6442.0,115505.0,64623000.00000001,-15.04%,8.92,2.04,1901.0,Consumer Services
344,ARL,"American Realty Investors, Inc.",20.00,4.44%,0.85,8666.0,173320.0,323041000.0,28.78%,0.89,22.60,N/A,Finance
345,ARLO,"Arlo Technologies, Inc.",10.14,-11.67%,-1.34,1388000.0,14074000.0,931277000.0,69.06%,N/A,-0.71,N/A,Electronic Technology
346,ARLP,"Alliance Resource Partners, L.P.",19.95,1.37%,0.27,394097.0,7862000.0,2538000000.0,-9.06%,3.52,5.66,3371.0,Energy Minerals
347,ARMK,Aramark,41.42,1.57%,0.64,4139000.0000000005,171431000.0,10794000000.0,14.45%,19.95,2.09,273875.0,Consumer Services
348,ARMP,"Armata Pharmaceuticals, Inc.",3.88,1.57%,0.06,44516.0,172722.0,140174000.0,-9.01%,N/A,-1.18,N/A,Health Technology
349,ARNC,Arconic Corporation,29.90,-0.10%,-0.03,704551.0,21066000.0,3000000000.0,6.96%,N/A,-2.50,11550.0,Non-Energy Minerals
350,AROC,"Archrock, Inc.",13.16,1.94%,0.25,1094000.0,14392000.0,2060000000.0,71.05%,31.07,0.42,1100.0,Industrial Services
351,AROW,Arrow Financial Corporation,19.46,-3.81%,-0.77,36096.0,702428.0,322123000.0,-38.82%,8.30,2.35,N/A,Finance
352,ARQQ,Arqit Quantum Inc.,1.05,1.94%,0.02,750210.0,787721.0,140701000.0,-79.04%,N/A,-0.12,N/A,Technology Services
