,Symbol,Company,Price,Change%1D,Change1D,Volume1D,Volume*Price1D,MarketCap,MarketCapPerformance%1Y,PriceEarningRatio,EarningPerShare(TTM),Employees(FY),Sector
305,000815,MCC MEILI CLOUD CO,11.29,-0.96%,-0.11,11824000.0,133490000.00000001,7926000000.0,26.11%,N/A,-0.34,1082.0,Producer Manufacturing
306,000816,JIANGSU NONGHUA IN,3.25,-0.91%,-0.03,11079000.0,36007000.0,4736000000.0,-24.36%,N/A,-0.02,1357.0,Producer Manufacturing
307,000818,HANGJIN TECHNOLOGY,32.78,-1.71%,-0.57,4302000.0,141030000.0,22535000000.0,1.77%,146.54,0.22,3712.0,Process Industries
308,000819,YUEYANG XINGCHANG,19.23,-2.68%,-0.53,1571000.0,30212000.0,6088000000.0,-18.79%,67.95,0.28,N/A,Process Industries
309,000820,SHENWU ENERGY SAVI,3.75,-1.06%,-0.04,4086999.9999999995,15326000.0,2415000000.0,-4.29%,N/A,-0.03,N/A,Industrial Services
310,000821,JS CORRUGATING MAC,18.12,-2.32%,-0.43,14699000.0,266341999.99999997,11390000000.0,-12.29%,34.85,0.52,4355.0,Producer Manufacturing
311,000822,SHANDONG HAIHUA CO,6.99,-0.29%,-0.02,3892000.0,27208000.0,6275000000.0,-21.06%,5.37,1.30,5161.0,Process Industries
312,000823,GUANGDONG GOWORLD,9.25,-1.28%,-0.12,5150000.0,47638000.0,5032000000.0,-12.76%,14.45,0.66,7394.0,Electronic Technology
313,000825,SHANXI TAIGANG ST,4.24,-0.70%,-0.03,14518000.0,61555000.0,24566000000.0,-12.90%,N/A,-0.30,15123.0,Non-Energy Minerals
314,000826,TUS ENVIRONMENTAL,3.27,1.24%,0.04,32293999.999999996,105600000.0,4588000000.0,-6.75%,N/A,-0.56,60337.0,Industrial Services
315,000828,DONGGUAN DEVELOPME,9.77,-1.71%,-0.17,9595000.0,93741000.0,10333000000.0,1.33%,11.14,0.88,1115.0,Transportation
316,000829,TELLING TELECOMMUN,8.87,-1.55%,-0.14,12252000.0,108673000.0,9233000000.0,-12.35%,56.14,0.16,3095.0,Distribution Services
317,000830,LUXI CHEMICAL GP,10.18,-0.97%,-0.10,7275000.0,74060000.0,19580000000.0,-24.73%,8.99,1.13,12373.0,Process Industries
318,000831,CHINA RARE EARTH R,32.00,-1.20%,-0.39,19081000.0,610583000.0,31771000000.0,12.08%,117.56,0.27,N/A,Non-Energy Minerals
319,000833,GUANGXI YUEGUI GUA,6.48,-1.82%,-0.12,4635000.0,30033000.0,4411000000.0,-13.16%,14.45,0.45,3117.0,Process Industries
320,000836,TIANJIN FUTONG INF,2.85,-1.72%,-0.05,14817000.0,42228000.0,3505000000.0,-10.22%,N/A,-0.01,N/A,Electronic Technology
321,000837,QINCHUAN MACHINE T,12.83,-2.36%,-0.31,21958000.0,281716000.0,13270000000.0,40.12%,42.26,0.30,9636.0,Producer Manufacturing
322,000838,CASIN REAL ESTATE,4.36,-6.24%,-0.29,87836000.0,382964000.0,5112000000.0,-23.32%,N/A,-0.23,N/A,Finance
323,000839,CITIC GUOAN INFO,2.39,0.84%,0.02,14510000.0,34678000.0,9290000000.0,-7.42%,N/A,-0.30,19712.0,Electronic Technology
324,000848,CHENG DE LOLO CO L,9.07,-0.98%,-0.09,6219000.0,56410000.0,9403000000.0,10.24%,15.41,0.59,1257.0,Consumer Non-Durables
