,Symbol,Company,Price,Change%1D,Change1D,Volume1D,Volume*Price1D,MarketCap,MarketCapPerformance%1Y,PriceEarningRatio,EarningPerShare(TTM),Employees(FY),Sector
323,159,BROCKMAN MINING LIMITED,0.165,3.13%,0.005,84280.0,13906.0,1485000000.0,-27.27%,N/A,-0.00,N/A,Transportation
324,1591,SHUN WO GROUP HOLDINGS LTD,0.023,9.52%,0.002,1680000.0,38640.0,84000000.0,-16.00%,4.89,0.00,N/A,Industrial Services
325,1592,ANCHORSTONE HLDGS LTD,0.068,-1.45%,-0.001,145000.0,9860.0,107500000.0,-60.46%,N/A,-0.03,N/A,Industrial Services
326,1593,CHEN LIN EDUCATION GROUP HLDGS LTD,2.00,0.00%,0.00,740000.0,1480000.0,2000000000.0,-5.21%,91.32,0.02,2356.0,Commercial Services
327,1596,HEBEI YICHEN INDUSTRIAL CORP GP LTD,4.10,0.24%,0.01,131000.0,537100.0,3672000000.0,-2.39%,19.69,0.21,1369.0,Producer Manufacturing
328,1597,CHINA NATURE ENERGY TECHGY HLDS LTD,6.35,1.60%,0.10,13000.0,82550.0,1563000000.0,154.07%,251.98,0.03,N/A,Producer Manufacturing
329,1598,CHINA 21ST CENTURY EDUC GP LTD,0.237,0.00%,0.000,186000.0,44082.0,262567000.0,-42.20%,8.17,0.03,1202.0,Commercial Services
330,1599,BEIJING URBAN CONSTRUCTION DESIGN &,2.21,2.31%,0.05,118000.0,260779.99999999997,2913000000.0,25.58%,2.63,0.84,4946.0,Industrial Services
331,16,SUN HUNG KAI PROPERTIES LTD,91.60,-0.65%,-0.60,5128000.0,469761000.0,267175000000.0,-3.66%,14.13,6.48,40500.0,Finance
332,1600,TIAN LUN GAS HOLDINGS LTD,4.92,0.41%,0.02,746000.0,3670000.0,4811000000.0,22.77%,9.42,0.52,N/A,Energy Minerals
333,1601,ZHONGGUANCUN SCIENCE TECH LEASING,0.65,1.56%,0.01,56000.0,36400.0,853334000.0,-3.03%,3.29,0.20,N/A,Finance
334,1606,CHINA DEV BANK FINL LEASING CO LTD,1.28,0.00%,0.00,394000.0,504320.0,16181999999.999998,30.61%,4.12,0.31,N/A,Finance
335,1608,VPOWER GROUP INTL HLDGS LTD,0.275,3.77%,0.010,11000.0,3025.0,713431000.0,-72.40%,N/A,-0.26,N/A,Producer Manufacturing
336,1610,COFCO JOYCOME FOODS LTD,2.02,-0.49%,-0.01,15653000.0,31619000.0,9301000000.0,-21.07%,21.84,0.09,9980.0,Distribution Services
337,1611,NEW HUO TECHNOLOGY HOLDINGS LTD,2.41,-2.03%,-0.05,120000.0,289200.0,760043000.0,-43.00%,N/A,-1.27,N/A,Electronic Technology
338,1612,VINCENT MEDICAL HOLDINGS LTD,0.395,0.00%,0.000,14000.0,5530.0,258067999.99999997,-28.18%,N/A,-0.03,1226.0,Health Technology
339,1613,SYNERTONE COMMUNICATION CORPORATION,0.77,-1.28%,-0.01,307200.0,236544.0,234244000.0,6.88%,N/A,-0.16,N/A,Commercial Services
